"Source","Target"
"DC0001","DC0068"
"DC0001","DC0095"
"DC0001","DC0148"
"DC0001","DC0198"
"DC0001","DC0301"
"DC0001","DC0311"
"DC0001","DC0395"
"DC0001","DC0468"
"DC0001","DC0471"
"DC0001","DC0483"
"DC0001","DC0510"
"DC0001","DC0548"
"DC0001","DC0677"
"DC0001","DC0707"
"DC0001","DC0863"
"DC0001","DC1064"
"DC0001","DC1116"
"DC0001","DC1169"
"DC0001","DC1182"
"DC0001","DC1189"
"DC0001","DC1198"
"DC0001","DC1208"
"DC0001","DC1248"
"DC0001","DC1317"
"DC0001","DC1509"
"DC0001","DC1661"
"DC0001","DC1663"
"DC0001","DC1687"
"DC0001","DC1725"
"DC0001","DC1810"
"DC0001","DC2162"
"DC0001","DC2079"
"DC0001","DC2320"
"DC0001","DC0941"
"DC0001","DC1879"
"DC0001","DC2304"
"DC0001","DC1909"
"DC0001","DC2030"
"DC0001","DC2088"
"DC0001","DC2215"
"DC0001","DC1946"
"DC0001","DC2288"
"DC0002","DC0085"
"DC0003","DC0200"
"DC0003","DC1645"
"DC0003","DC1800"
"DC0004","DC1194"
"DC0004","DC1934"
"DC0004","DC2350"
"DC0005","DC0935"
"DC0005","DC2128"
"DC0006","DC0035"
"DC0006","DC0130"
"DC0006","DC0741"
"DC0006","DC1893"
"DC0007","DC1856"
"DC0007","DC1937"
"DC0008","DC2234"
"DC0008","DC1933"
"DC0009","DC0377"
"DC0009","DC0519"
"DC0010","DC0503"
"DC0010","DC2104"
"DC0011","DC1528"
"DC0012","DC1876"
"DC0012","DC2023"
"DC0013","DC0374"
"DC0013","DC0897"
"DC0013","DC1081"
"DC0014","DC0354"
"DC0014","DC1620"
"DC0015","DC0830"
"DC0016","DC1348"
"DC0016","DC2014"
"DC0016","DC2302"
"DC0017","DC0796"
"DC0017","DC1606"
"DC0017","DC1861"
"DC0017","DC0285"
"DC0018","DC0728"
"DC0018","DC1999"
"DC0019","DC1417"
"DC0019","DC2384"
"DC0020","DC0024"
"DC0020","DC0564"
"DC0020","DC1524"
"DC0021","DC0500"
"DC0022","DC0148"
"DC0022","DC1654"
"DC0023","DC0370"
"DC0023","DC1275"
"DC0024","DC1455"
"DC0024","DC1530"
"DC0025","DC1296"
"DC0025","DC1809"
"DC0025","DC2285"
"DC0026","DC0463"
"DC0026","DC0880"
"DC0027","DC0376"
"DC0027","DC2251"
"DC0027","DC2089"
"DC0028","DC2090"
"DC0029","DC0229"
"DC0029","DC0966"
"DC0030","DC1530"
"DC0030","DC1538"
"DC0030","DC1651"
"DC0031","DC2009"
"DC0032","DC2398"
"DC0032","DC2021"
"DC0033","DC0099"
"DC0033","DC1594"
"DC0034","DC1634"
"DC0036","DC0687"
"DC0036","DC0962"
"DC0036","DC2337"
"DC0037","DC0219"
"DC0037","DC0364"
"DC0038","DC0980"
"DC0038","DC1449"
"DC0038","DC1572"
"DC0038","DC2013"
"DC0039","DC1857"
"DC0040","DC2106"
"DC0041","DC0065"
"DC0041","DC1865"
"DC0042","DC0230"
"DC0042","DC1370"
"DC0042","DC1453"
"DC0042","DC1473"
"DC0042","DC2505"
"DC0043","DC0774"
"DC0043","DC1619"
"DC0044","DC0251"
"DC0044","DC2316"
"DC0045","DC0452"
"DC0045","DC1874"
"DC0046","DC1587"
"DC0046","DC1681"
"DC0046","DC2392"
"DC0046","DC1994"
"DC0047","DC0530"
"DC0048","DC0140"
"DC0048","DC2241"
"DC0048","DC1378"
"DC0049","DC0548"
"DC0049","DC1427"
"DC0049","DC1793"
"DC0050","DC1990"
"DC0050","DC2394"
"DC0051","DC1996"
"DC0051","DC2420"
"DC0052","DC0093"
"DC0052","DC0405"
"DC0052","DC2298"
"DC0053","DC0077"
"DC0053","DC0835"
"DC0053","DC1566"
"DC0054","DC2145"
"DC0055","DC0297"
"DC0055","DC0743"
"DC0056","DC1688"
"DC0056","DC2198"
"DC0057","DC0124"
"DC0057","DC0348"
"DC0058","DC1088"
"DC0060","DC1334"
"DC0061","DC0112"
"DC0061","DC0173"
"DC0061","DC1041"
"DC0062","DC0366"
"DC0062","DC0568"
"DC0062","DC1313"
